free sulfur dioxide,total sulfur dioxide,density,alcohol,quality
11.0,34.0,0.9978,9.4,5
25.0,67.0,0.9968,9.8,5
15.0,54.0,0.997,9.8,5
17.0,60.0,0.998,9.8,6
11.0,34.0,0.9978,9.4,5
13.0,40.0,0.9978,9.4,5
15.0,59.0,0.9964,9.4,5
15.0,21.0,0.9946,10.0,7
9.0,18.0,0.9968,9.5,7
17.0,102.0,0.9978,10.5,5
15.0,65.0,0.9959,9.2,5
17.0,102.0,0.9978,10.5,5
16.0,59.0,0.9943,9.9,5
9.0,29.0,0.9974,9.1,5
52.0,145.0,0.9986,9.2,5
51.0,148.0,0.9986,9.2,5
35.0,103.0,0.9969,10.5,7
16.0,56.0,0.9968,9.3,5
6.0,29.0,0.9974,9.0,4
17.0,56.0,0.9969,9.2,6
29.0,60.0,0.9968,9.4,6
23.0,71.0,0.9982,9.7,5
10.0,37.0,0.9966,9.5,5
9.0,67.0,0.9968,9.4,5
21.0,40.0,0.9968,9.7,6
11.0,23.0,0.9955,9.3,5
4.0,11.0,0.9962,9.5,5
10.0,37.0,0.9966,9.5,5
14.0,35.0,0.9972,9.4,5
8.0,16.0,0.9964,9.8,6
17.0,82.0,0.9958,10.1,5
22.0,37.0,0.9966,10.6,6
15.0,113.0,0.9966,9.8,5
40.0,83.0,0.9993,9.4,6
13.0,50.0,0.9957,9.2,5
5.0,18.0,0.9986,9.6,6
3.0,15.0,0.9975,10.8,6
13.0,30.0,0.9968,9.7,7
7.0,19.0,0.994,9.8,4
12.0,87.0,0.9978,10.5,5
12.0,87.0,0.9978,10.5,5
17.0,46.0,0.9976,9.3,4
8.0,14.0,0.9968,10.5,6
9.0,23.0,0.9968,10.3,5
5.0,11.0,0.9962,9.5,5
8.0,65.0,0.9934,13.1,4
22.0,114.0,0.997,9.2,5
12.0,37.0,0.9969,9.5,5
5.0,12.0,0.9958,9.2,5
12.0,96.0,0.9954,9.2,5
4.0,23.0,0.9971,9.2,5
8.0,15.0,0.9956,9.4,6
6.0,14.0,0.9955,9.4,6
30.0,119.0,0.997,9.4,5
33.0,73.0,0.9955,10.2,6
25.0,45.0,0.9978,9.5,5
4.0,10.0,0.9971,9.6,5
50.0,110.0,0.9983,9.4,5
17.0,54.0,0.9975,10.0,5
9.0,46.0,0.9962,9.4,6
19.0,52.0,0.998,9.2,5
20.0,112.0,0.9968,9.3,5
12.0,35.0,0.9968,9.5,7
13.0,54.0,0.9966,9.8,5
4.0,11.0,0.9962,10.9,5
4.0,11.0,0.9962,10.9,5
11.0,39.0,0.9968,9.6,5
6.0,15.0,0.9962,10.7,5
27.0,65.0,0.9969,10.7,5
8.0,19.0,0.9962,10.5,6
15.0,27.0,0.9967,9.5,6
17.0,96.0,0.9962,9.5,5
18.0,94.0,0.9961,9.5,5
11.0,43.0,0.9976,9.2,4
28.0,83.0,0.9984,9.6,5
9.0,42.0,0.9986,10.5,5
9.0,42.0,0.9986,10.5,5
14.0,30.0,0.9966,10.7,6
12.0,80.0,0.9958,10.1,5
27.0,119.0,0.9972,9.1,4
3.0,15.0,0.9958,9.2,5
22.0,67.0,0.9974,9.4,5
21.0,73.0,0.997,9.1,5
16.0,51.0,0.9969,9.4,5
18.0,61.0,0.9959,10.3,6
19.0,40.0,0.9961,10.1,5
20.0,136.0,0.9972,9.9,6
9.0,31.0,0.9966,9.6,5
34.0,125.0,0.9978,9.5,5
8.0,24.0,0.9978,9.0,5
42.0,140.0,0.9964,9.5,5
20.0,136.0,0.9972,9.9,6
19.0,133.0,0.9972,9.8,5
9.0,31.0,0.9966,9.6,5
41.0,85.0,0.9938,10.5,4
17.0,106.0,0.9932,12.9,6
8.0,23.0,0.9965,10.7,5
3.0,22.0,0.9963,9.2,5
5.0,10.0,0.9967,9.8,5
13.0,35.0,0.9972,9.0,6
11.0,50.0,0.9972,10.2,6
8.0,22.0,0.9959,10.4,6
13.0,35.0,0.9972,9.0,6
12.0,65.0,0.9967,9.2,5
5.0,36.0,0.996,9.4,5
12.0,65.0,0.9967,9.2,5
18.0,69.0,0.9973,9.3,5
15.0,64.0,0.9969,9.3,5
18.0,80.0,0.9976,9.6,6
37.0,153.0,0.9969,9.3,5
12.0,47.0,0.9964,9.5,5
11.0,108.0,0.9964,9.8,5
14.0,111.0,0.9964,9.8,5
22.0,46.0,0.9988,9.7,6
12.0,47.0,0.9964,9.5,5
13.0,62.0,0.9966,10.5,6
11.0,40.0,0.9978,10.0,6
7.0,28.0,0.997,9.4,6
14.0,56.0,0.9962,10.9,6
22.0,89.0,0.9959,9.2,6
10.0,89.0,0.9962,9.0,5
14.0,56.0,0.9962,10.9,6
3.0,13.0,0.998,9.2,5
11.0,34.0,0.9976,9.5,5
21.0,102.0,0.996,9.5,5
27.0,90.0,0.9984,9.4,5
3.0,12.0,0.9964,10.9,5
3.0,12.0,0.9964,10.9,5
3.0,16.0,0.9962,10.5,7
6.0,19.0,0.9955,9.4,5
30.0,134.0,0.9968,9.4,5
17.0,99.0,0.9937,13.0,5
17.0,99.0,0.9937,13.0,5
17.0,26.0,0.9952,9.8,6
13.0,29.0,0.9959,9.9,6
16.0,63.0,0.9965,9.6,5
10.0,52.0,0.9968,9.5,5
13.0,45.0,0.9972,9.2,5
15.0,105.0,0.9962,9.5,5
17.0,108.0,0.9962,9.5,5
16.0,63.0,0.9965,9.6,5
10.0,52.0,0.9968,9.5,5
27.0,63.0,0.9916,14.0,6
3.0,20.0,0.9954,9.4,5
27.0,63.0,0.9916,14.0,6
32.0,141.0,0.9968,9.4,5
21.0,94.0,0.9944,10.0,5
10.0,88.0,0.9968,9.3,5
12.0,30.0,0.9959,10.2,6
11.0,43.0,0.9975,10.5,6
5.0,11.0,0.9958,10.3,6
32.0,69.0,0.9996,9.4,4
25.0,99.0,0.995,10.1,5
25.0,99.0,0.995,10.1,5
29.0,129.0,0.9973,10.5,5
28.0,128.0,0.9973,10.5,5
29.0,129.0,0.9973,10.5,5
28.0,128.0,0.9973,10.5,5
12.0,22.0,0.9969,9.3,5
18.0,86.0,0.9968,9.3,6
7.0,20.0,0.9959,9.6,5
9.0,20.0,0.9965,9.2,4
17.0,31.0,0.9964,10.0,6
36.0,121.0,0.9982,9.4,5
35.0,121.0,0.9981,9.4,5
14.0,96.0,0.9961,9.5,5
18.0,101.0,0.9956,10.2,5
17.0,42.0,0.9956,9.0,4
11.0,44.0,0.9953,10.4,6
15.0,63.0,0.9964,9.5,5
4.0,8.0,0.9972,9.1,4
6.0,18.0,0.9972,9.2,6
6.0,18.0,0.9972,9.2,6
24.0,42.0,0.9961,11.5,6
7.0,35.0,0.9961,9.5,5
19.0,49.0,0.9958,9.5,5
7.0,35.0,0.9961,9.5,5
8.0,38.0,0.9972,10.5,6
7.0,20.0,0.9969,9.6,5
10.0,42.0,0.9969,9.5,5
10.0,42.0,0.9969,9.5,5
23.0,110.0,0.9972,9.3,5
16.0,42.0,0.9972,9.3,5
11.0,65.0,0.9971,9.3,5
8.0,62.0,0.997,9.3,6
26.0,85.0,0.9971,9.7,5
14.0,67.0,0.9972,9.2,5
9.0,26.0,0.9976,9.7,5
15.0,143.0,0.9968,9.5,5
17.0,144.0,0.9968,9.5,5
21.0,127.0,0.9976,9.4,5
21.0,49.0,0.9974,9.8,6
16.0,126.0,0.9969,9.5,5
7.0,28.0,0.9964,9.7,5
7.0,28.0,0.9964,9.7,5
24.0,120.0,0.9968,9.4,5
15.0,55.0,0.9968,10.2,5
12.0,27.0,0.9981,10.1,6
13.0,93.0,0.9924,13.0,7
12.0,31.0,0.9948,11.4,4
9.0,24.0,0.99695,10.3,7
39.0,145.0,0.9975,9.3,5
16.0,49.0,0.99545,9.5,5
16.0,39.0,0.9961,9.2,5
14.0,37.0,0.99615,9.2,6
9.0,28.0,0.9994,10.8,7
9.0,28.0,0.9994,10.8,7
26.0,120.0,0.99625,9.3,5
18.0,95.0,0.9966,9.4,5
7.0,19.0,0.998,10.5,7
5.0,19.0,0.99585,12.4,6
10.0,62.0,0.99685,10.0,6
5.0,15.0,0.998,10.2,6
28.0,65.0,0.9959,10.1,5
10.0,41.0,0.9974,9.8,6
26.0,121.0,0.9974,10.5,5
13.0,49.0,0.9962,11.0,5
11.0,41.0,0.9967,9.1,5
10.0,44.0,0.9957,9.7,5
24.0,144.0,0.99655,9.5,5
24.0,58.0,0.9964,9.4,6
16.0,72.0,0.9957,9.4,5
5.0,10.0,0.99525,9.5,5
8.0,28.0,0.99815,10.0,6
15.0,55.0,0.99745,10.4,4
29.0,63.0,0.99615,10.5,6
27.0,81.0,0.9964,9.5,6
9.0,23.0,0.9984,9.8,5
29.0,63.0,0.99615,10.5,6
10.0,37.0,0.99685,11.0,5
19.0,106.0,0.9927,12.2,7
12.0,49.0,0.99625,9.9,6
18.0,58.0,0.998,9.6,6
10.0,37.0,0.99685,11.0,5
7.0,37.0,0.99685,9.0,6
